Project_Stage,Project_Count,Total_Estimated_Fee,Total_Weighted_Fee,FY25_Estimated_Fee,FY25_Weighted_Fee,FY26_Estimated_Fee,FY26_Weighted_Fee,FY27_Estimated_Fee,FY27_Weighted_Fee
1-Prospect,196,253180995.97,52714266.0,28295098.871266104,6579176.681296839,81279193.23076287,16685372.006871702,59884941.83220488,11992346.672724677
2-Proposal Commenced,7,3635000.0,2058500.0,1898659.9759348247,1032133.5119061305,1519621.9314985555,961351.0603238835,176718.09256661992,53015.427769985974
3-Proposal Submitted,45,45698180.4,14076492.62,8571598.801017025,3286026.2491612067,11834772.886827242,3655907.1523896735,9069122.606371023,2383308.1720705684
TOTAL,248,302514176.37,68849258.62,38765357.64821796,10897336.442364179,94633588.04908867,21302630.219585262,69130782.53114252,14428670.27256523
