config_id,matrix_size,kernel_size,stride_h,stride_w,mode,threads,procs,time_seconds,speedup
4,10000,3,1,1,omp,8,1,1.088780,3.9975
4,10000,3,1,1,omp,16,1,1.090793,3.9901
4,10000,3,1,1,omp,32,1,1.090821,3.9900
4,10000,3,1,1,mpi,1,1,4.456482,.9766
4,10000,3,1,1,mpi,1,2,2.414084,1.8029
4,10000,3,1,1,mpi,1,4,1.378090,3.1583
4,10000,3,1,1,mpi,1,8,0.871334,4.9951
4,10000,3,1,1,mpi,1,16,0.615820,7.0676
4,10000,3,1,1,mpi,1,32,0.529332,8.2224
4,10000,3,1,1,hybrid,4,2,1.642054,2.6505
4,10000,3,1,1,hybrid,2,4,0.950069,4.5811
4,10000,3,1,1,hybrid,4,4,0.953056,4.5668
4,10000,3,1,1,hybrid,4,8,0.720926,6.0372
4,10000,3,1,1,hybrid,8,4,0.947973,4.5912
4,10000,3,1,1,hybrid,8,8,0.719127,6.0523
4,10000,3,1,1,hybrid,8,16,0.532930,8.1669
4,10000,3,1,1,hybrid,16,8,0.717313,6.0676
4,10000,3,1,1,hybrid,16,16,0.534417,8.1442
4,10000,3,1,1,hybrid,32,32,0.453211,9.6035
5,20000,3,1,1,seq,1,1,17.469978,1.0
5,20000,3,1,1,omp,1,1,4.358649,4.0081
5,20000,3,1,1,omp,2,1,4.379189,3.9893
5,20000,3,1,1,omp,4,1,4.366819,4.0006
5,20000,3,1,1,omp,8,1,4.359192,4.0076
5,20000,3,1,1,omp,16,1,4.361413,4.0055
5,20000,3,1,1,omp,32,1,4.366399,4.0010
5,20000,3,1,1,mpi,1,1,17.832753,.9796
5,20000,3,1,1,mpi,1,2,9.633552,1.8134
5,20000,3,1,1,mpi,1,4,5.525655,3.1616
5,20000,3,1,1,mpi,1,8,3.432553,5.0894
5,20000,3,1,1,mpi,1,16,2.419262,7.2212
5,20000,3,1,1,mpi,1,32,2.103300,8.3059
5,20000,3,1,1,hybrid,4,2,6.597186,2.6480
5,20000,3,1,1,hybrid,2,4,3.924375,4.4516
5,20000,3,1,1,hybrid,4,4,3.921169,4.4552
5,20000,3,1,1,hybrid,4,8,2.677950,6.5236
5,20000,3,1,1,hybrid,8,4,3.895007,4.4852
5,20000,3,1,1,hybrid,8,8,2.671599,6.5391
5,20000,3,1,1,hybrid,8,16,2.034346,8.5875
5,20000,3,1,1,hybrid,16,8,2.674157,6.5328
5,20000,3,1,1,hybrid,16,16,2.029064,8.6098
5,20000,3,1,1,hybrid,32,32,1.787909,9.7711
